Name,Rarity,Type,Lore,Attunement,Weight,Properties,Effects,Value
Alchemy Jug (Blue),uncommon,wondrous item,"The Alchemy Jug is a common container used to store alchemical ingredients. It is often blue in color, and is often decorated with symbols or designs related to alchemy.",,12 lb.,,"This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty.You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.LiquidMax AmountBeer4 gallonsBoiling Hot Tea1 quartHoney1 gallonMayonnaise2 gallonsOilquartVinegar2 gallonsWater, fresh8 gallonsWater, salt12 gallonsWine1 gallon",
Alchemy Jug (Orange),uncommon,wondrous item,The Alchemy Jug is a common container used to store alchemical ingredients. It is often orange in color to signify the element of fire within alchemy.,,12 lb.,,"This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty.You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.LiquidMax AmountBeer4 gallonsHoney1 gallonMayonnaise2 gallonsOilquartSoy Sauce1 gallonVinegar2 gallonsWater, fresh8 gallonsWater, salt12 gallonsWine1 gallon",
Ale (Gallon),Mundane,food and drink,"Ale is a common drink in the world of Dungeons and Dragons. It is a fermented malt beverage that is typically light in color and has a slightly sweet taste. Ale is most commonly consumed as a refreshing drink, but can also be used in cooking.",,,,,2 sp
Ale (Mug),Mundane,food and drink,"Ale is a popular drink in the DnD world. It is a mug made of sturdy, dark-colored ceramic. Ale is often filled with a variety of different beers, and is a common drink for adventurers and travelers.",,,,,4 cp
Amethyst Lodestone,very rare,wondrous item,The Amethyst Lodestone is a powerful magical item that allows the user to teleport to any location they have seen before.,requires attunement,,,"This fist-sized chunk of amethyst is infused with an amethyst dragon's ability to bend gravitational forces. While you are carrying the lodestone, you have advantage on Strength saving throws.The lodestone has 6 charges for the following properties, which you can use while you are holding the stone. The stone regains 1d6 expended charges daily at dawn. Flight. As a bonus action, you can expend 1 charge to gain the power of flight for 10 minutes. For the duration, you gain a flying speed equal to your walking speed, and you can hover. Gravitational Thrust. As an action, you can expend 1 charge to focus gravity around a creature you can see within 60 feet of you. The target must succeed on a DC 18 Strength saving throw or be pushed up to 20 feet in a direction of your choice. Reverse Gravity. As an action, you can expend 3 charges to cast reverse gravity from the stone (save DC 18).",
Amulet,Mundane,spellcasting focus,"The amulet is a magical item that is often worn by characters to protect them from harm. It is made from a variety of materials, but is typically made from a piece of jewelry or a piece of cloth that has been enchanted with a spell. The amulet typically has a special property that allows the wearer to cast a spell that protects them from harm.",,1 lb.,,"A Sacred Seal is a representation of a god or pantheon.A cleric or paladin can use a Sacred Seal as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",5 gp
Amulet of Health,rare,wondrous item,The amulet of health is a magical item that grants the wearer immunity to all diseases.,requires attunement,1 lb.,,Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution score is already 19 or higher without it.,
Amulet of Proof against Detection and Location,uncommon,wondrous item,The amulet of proof against detection and location is a magical item that allows its wearer to remain undetected and undetected by magical means.,requires attunement,1 lb.,,"While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors.",
Amulet of Protection from Turning,rare,wondrous item,The amulet of protection from turning is a magical item that helps protect its wearer from being turned into a vampire.,requires attunement,1 lb.,,"While you wear this amulet of silver and turquoise, you have advantage on saving throws against effects that turn undead.If you fail a saving throw against such an effect, you can choose to succeed instead. You can do so three times, and expended uses recharge daily at dawn. Each time an effect that turns undead is used against you, the amulet glows with silvery blue light for a few seconds.",
Amulet of the Black Skull,very rare,wondrous item,"The amulet of the black skull is a powerful magical item that was created by an unknown wizard. The amulet is made from a black metal that is incredibly strong and resilient. The amulet has the ability to control the minds of those who wear it, and it can also summon dark creatures to do the wearer's bidding.",requires attunement,1 lb.,,"This amulet is carved from obsidian and shaped like a screaming humanoid skull, with ruby eyes and emeralds for teeth. It hangs from an iron chain necklace.The amulet has 6 charges and regains 1d6 charges daily at dawn. While wearing the amulet, you can use an action to expend 1 of its charges to transport yourself and anything you are wearing or carrying to a location within 100 feet of you. The destination you choose doesn't need to be in your line of sight, but it must be familiar to you (in other words, a place you have seen or visited), and it must be on the same plane of existence as you. This effect isn't subject to the magic restrictions placed on the Tomb of the Nine Gods; thus, the amulet can be used to enter and exit the tomb.If you aren't undead, you must make a DC 16 Constitution saving throw each time you use the amulet to teleport. On a failed saving throw, the black skull cackles as you are transformed in transit. The transformation takes effect as soon as you arrive at the destination, and is determined randomly by rolling percentile dice and consulting the Black Skull Transformation table.Black Skull Transformationd100Transformation01-20The symbol of Acererak is burned into your flesh, a curse that can only be removed with a remove curse spell or similar magic. Until the curse ends, your hit points can't be restored by magic.21-35You grow larger as if affected by an enlarge/reduce spell, except the effect lasts for 1 hour.36-50You grow smaller as if affected by an enlarge/reduce spell, except the effect lasts for 1 hour.51-70You arrive at the destination wearing nothing but the amulet of the black skull. Everything else that you were wearing or carrying appears in a random unoccupied space within 100 feet of you.71-95You are paralyzed for 1 minute or until this effect is ended with a lesser restoration spell or similar magic.96-00You become petrified. This effect can be ended only with a greater restoration spell or similar magic.",
