Item Name,Item Description,Story
Axe of Godfrey,"Weapon of Godfrey, Elden Lord. It was broken in a battle fought as leader of the Tarnished during the Long March. This weapon is symbolic of Godfrey's vow to conduct himself as a lord, later becoming an emblem of the golden lineage. In the days of the past, a crown was warranted with strength.","The Weapon of Godfrey is a legendary relic that once belonged to Elden Lord Godfrey. It was broken in a battle fought as leader of the Tarnished during the Long March. The weapon is symbolic of Godfrey's vow to conduct himself as a lord, later becoming an emblem of the golden lineage. In the days of the past, a crown was warranted with strength."
Axe of Godrick,"Greataxe wielded by Godrick the Grafted. This golden battleaxe is emblazoned with the figure of a beast, representing the strength of Godfrey, First Elden Lord and patriarch of the golden lineage. I command thee kneel! For I am the lord of all that is golden!","Godrick the Grafted was a powerful and respected god-king in the land of Elden. He wielded a greataxe that was engraved with the figure of a beast, representing the strength of Godfrey, First Elden Lord and patriarch of the golden lineage. One day, a rival god-king challenged Godrick to a battle and won. As a result, Godrick was exiled from his home and forced to wander the land, seeking refuge with any other golden-blooded creatures he"
Azal's Staff,"Staff of Azal, sage of Forossa. Rather roughly crafted, but imbued with the magic of Azal. Greatly intensifies spells, but also drastically reduces spell usage. This staff, unfit for the inexperienced, is evidence of sage Azal's prowess.","The Staff of Azal is a powerful artifact that amplifies spells and reduces their usage by a significant amount. It was created by the sage Azal, and is only meant for the most experienced mages. Despite its flaws, the staff is still an incredibly powerful tool."
Azur's Glintstone Staff,"Staff of the primeval glintstone sorcerer Azur. Only those who have glimpsed what lies beyond the wisdom of stone may wield it. Reduces casting time of all sorceries, but consumes additional FP.","The Staff of the Primeval Glintstone Sorcerer Azur is a powerful artifact that reduces the casting time of all spells, but it consumes additional FP. Only those who have glimpsed what lies beyond the wisdom of stone can wield it, and even then, it is a dangerous weapon to possess."
Azur's Manchettes,"Manchettes corroded by blue-green glintstones. Worn by Azur, primeval current sorcerer. Azur had reached a near-inorganic state.","Azur, the primeval current sorcerer, wore machettes that corroded from blue-green glintstones. These weapons were worn in order to channel and control the power of the current."
Balcony Key,"Key to the balcony on the first floor of the Research Hall. Lady Maria of the Astral Clocktower gave this to the patient, Adeline. Maria had hoped Adeline would find comfort in the faint breeze that carried the scent of flowers from the outside, but Adeline couldn't fathom her intentions.","Lady Maria of the Astral Clocktower gifted a key to the balcony on the first floor of the Research Hall to patient Adeline. Maria hoped that the faint breeze that carried the scent of flowers from the outside would provide comfort to Adeline, but Adeline could not understand why the flowers would be comforting."
Balder Shield,Shield of the knights of the ancient kingdom of Balder. Tweaked for improved stability. Balder was the home of Knight King Rendal but the kingdom was reduced to ruins after a widespread outbreak of Undead,The shield of the knights of the ancient kingdom of Balder is a finely crafted piece of metalwork. It is designed to be stable and provide protection from attacks. The shield is also tweaked for improved stability. This makes it ideal for use by knights of the kingdom.
Balder Side Sword,"The knights of the ancient kingdom of Balder wielded these rock-solid long swords which are excellent for thrust attacks. Balder was the home of Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead","The knights of the ancient kingdom of Balder wielded these rock-solid long swords which are excellent for thrust attacks. Balder was the home of Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead. Rendal and his knights fought valiantly against the Undead, but eventually they were overwhelmed. Now, centuries later, the swords of Rendal and his knights still stand as a warning to any would-be invaders."
Bandit Armor,"Armor of bandits of the Forossan outskirts. The territory of Forossa became lawless after the kingdom fell to war. Citizens became bandits, and scattered to other lands","The armor of the bandits of the Forossan outskirts is a symbol of their power and defiance. It is made from the finest materials and is decorated with intricate designs. The armor is coveted by many, but it is also a source of fear for those who know of its power."
Bandit Axe,"An axe of bandits of the Forossan outskirts Very sturdily built for the armament of a bandit. When Forossa fell to war, its citizens were left landless, and entirely to their own devices. Many were reduced to thievery, while Forossan knights scattered to other lands as sellswords. An axe of bandits of the Forossan outskirts Very sturdily built for the armament of a bandit. When Forossa fell to war, its citizens were left landless, and entirely to their own devices. Many were reduced to thievery, while Forossan knights scattered to other lands as sellswords.","The axe was once wielded by a band of brigands who roamed the outskirts of Forossa, preying on the weak and taking what they wanted. Now, it rests in a museum, a reminder of the violence and chaos that once plagued the land. One day, it may be taken out of its glass case and used once more to terrorize the innocent."
